EUPONT_ID;BNO_ID
99293;33600
99293;32512
99293;32520
99293;32524
99293;32527
99293;32530
99293;32542
99293;32557
99293;32560
99293;32574
99293;32577
99293;32582
99293;32592
99293;32596
99293;33529
99293;33543
99293;33546
99293;33563
99293;33564
99293;33565
99293;33570
99293;33575
99293;33583
99293;33591
99293;33595
99293;33601
99293;33605
99293;33606
99293;34503
99293;34506
99293;34516
99293;34519
99293;34546
99293;34556
99293;34570
99293;38092
99293;38129
99293;38132
99293;38136
99293;38161
99293;38168
99293;38173
99293;38176
99293;38182
99293;38183
99293;38189
99293;38193
99293;39048
99293;39051
99293;39055
99293;39056
99293;40972
99293;40976
99293;40979
99293;40987
99293;40990
99293;40992
99293;40998
99293;41007
99293;41015
99293;41019
99293;41864
99293;41869
99293;41874
99293;41878
99293;41892
99293;41903
99293;41905
99293;41918
99293;41931
99293;42811
99293;42823
99293;42827
99293;42829
99293;42832
99293;42855
99293;42859
99293;42866
99293;42875
99293;42876
99293;43675
99293;43681
99293;43687
99293;43703
99293;43712
99293;43716
99293;43759
99294;32600
99294;32510
99294;32523
99294;32536
99294;32542
99294;32556
99294;32561
99294;32563
99294;32578
99294;32579
99294;32580
99294;32598
99294;32599
99294;32601
99294;32602
99294;33538
99294;33548
99294;33555
99294;33579
99294;33591
99294;33608
99294;33609
99294;33613
99294;33616
99294;33618
99294;33630
99294;34493
99294;34494
99294;34497
99294;34498
99294;34519
99294;34547
99294;34552
99294;34559
99294;38095
99294;38131
99294;38132
99294;38139
99294;38143
99294;38145
99294;38148
99294;38183
99294;38193
99294;39052
99294;40958
99294;40968
99294;40969
99294;40983
99294;40986
99294;40987
99294;40995
99294;41001
99294;41022
99294;41025
99294;41037
99294;41857
99294;41867
99294;41874
99294;41877
99294;41888
99294;41902
99294;41919
99294;41936
99294;42796
99294;42806
99294;42830
99294;42834
99294;42839
99294;42844
99294;42846
99294;42850
99294;42856
99294;42858
99294;42869
99294;43669
99294;43689
99294;43725
99294;43742
99294;43743
99294;43744
99294;43754
99294;53595
99295;40192
99427;41084
99427;41085
99427;41096
99427;41098
99427;41102
99428;39750
99428;41088
99428;41095
99428;41097
99429;41080
99429;41089
99429;41091
99430;32653
99430;32654
99431;40416
99431;40418
99432;40417
99432;40418
99432;40419
99434;34182
99434;38614
99434;39283
99434;41147
99434;53766
99435;34184
99435;34187
99436;40978
99436;41010
99436;41011
99436;41017
99436;41863
99436;41867
99436;41868
99436;41901
99436;41904
99436;41929
99436;41935
99436;42794
99436;42799
99436;42806
99436;42807
99436;42816
99436;42830
99436;42835
99436;42836
99436;42840
99436;42859
99436;42860
99436;42861
99436;42865
99436;42870
99436;43675
99436;43682
99436;43689
99436;43693
99436;43701
99439;42888
99440;42892
99440;42897
99441;42063
99442;42063
99443;43049
99443;43050
99444;43044
99444;43045
99444;43051
99444;43053
99444;43057
99444;43060
99447;33968
99447;33972
99448;41300
99449;41290
99450;41947
99451;41435
99457;43901
99458;41088
99458;41091
99458;41092
99458;41094
99458;41095
99458;41096
99459;41090
99459;41092
99461;41090
99461;41093
99461;41094
99461;41096
99461;41105
99465;41094
99467;33924
99467;33928
99467;33929
99467;38375
99467;43954
99467;53661
98799;42866
98799;42870
98799;42873
98799;42874
98799;43669
98799;43673
98799;43676
98799;43678
98799;43680
98799;43698
98799;43706
98799;43717
98799;43723
98799;43728
98799;43745
98799;43754
98816;34506
98820;32600
98820;38100
98820;41900
98820;32516
98820;32521
98820;32527
98820;32529
98820;32545
98820;32547
98820;32548
98820;32557
98820;32568
98820;32582
98820;32584
98820;32585
98820;32593
98820;33542
98820;33553
98820;33560
98820;33571
98820;33572
98820;33576
98820;33584
98820;33603
98820;33609
98820;33612
98820;33615
98820;33620
98820;33623
98820;33625
98820;33631
98820;34472
98820;34483
98820;34488
98820;34518
98820;34531
98820;34540
98820;34544
98820;34545
98820;34546
98820;34555
98820;34556
98820;34560
98820;34567
98820;34570
98820;38096
98820;38106
98820;38112
98820;38113
98820;38118
98820;38121
98820;38141
98820;38145
98820;38153
98820;38157
98820;38160
98820;38162
98820;38170
98820;38179
98820;39049
98820;39051
98820;39057
98820;40960
98820;40971
98820;40980
98820;40985
98820;40993
98820;40994
98820;40998
98820;41001
98820;41018
98820;41031
98820;41881
98820;41885
98820;41888
98820;41894
98820;41896
98820;41940
98820;42801
98820;42804
98820;42830
98820;42845
98820;42850
98820;42862
98820;43669
98820;43672
98820;43677
98820;43679
98820;43682
98820;43685
98820;43687
98820;43696
98820;43704
98820;43735
98820;43740
98820;43747
98820;43751
98820;43755
98855;33107
98896;32586
98896;32591
98896;32592
98909;36023
98909;37440
98933;87569
98933;87583
98933;87588
98939;43783
98943;41091
98943;41094
98943;41098
98943;41105
98949;36870
98951;36870
98973;43086
98978;41152
98978;41192
98978;41194
98984;40664
99284;32588
99291;38104
99291;38149
99292;32511
99292;32517
99292;32549
99292;32554
99292;32567
99292;32578
99292;32581
99292;32594
99292;32604
99292;33529
99292;33548
99292;33554
99292;33555
99292;33558
99292;33568
99292;33576
99292;33578
99292;33587
99292;33601
99292;33611
99292;34469
99292;34474
99292;34478
99292;34481
99292;34483
99292;34486
99292;34489
99292;34493
99292;34505
99292;34522
99292;34530
99292;34534
99292;34536
99292;34539
99292;34544
99292;34558
99292;34562
99292;34564
99292;34569
99292;38096
99292;38097
99292;38113
99292;38114
99292;38145
99292;38172
99292;38185
99292;39054
99292;39057
99292;40989
99292;40991
99292;40994
99292;40997
99292;40999
99292;41004
99292;41023
99292;41032
99292;41864
99292;41888
99292;41911
99292;41914
99292;41934
99292;41937
99292;42818
99292;42828
99292;42829
99292;42848
99292;42856
99292;42860
99292;42868
99292;42870
99292;42871
99292;43680
99292;43695
99292;43696
99292;43701
99292;43729
99292;43733
99292;43737
99292;43751
99292;43757
99292;53578
100976;39221
100995;33930
101398;36513
101919;40649
101919;40655
101919;42271
101919;43085
101919;43086
101919;43090
101919;43093
101919;53738
101920;43100
101920;40655
101920;40657
101920;40660
101920;42269
101920;43090
101920;43094
101920;43096
101920;43097
101920;43102
101920;53736
101986;39220
103057;33600
103057;39100
103057;40300
103057;41000
103057;32519
103057;32523
103057;32524
103057;32529
103057;32536
103057;32542
103057;32549
103057;32562
103057;32565
103057;32567
103057;32576
103057;32581
103057;32588
103057;32594
103057;32596
103057;32601
103057;33529
103057;33536
103057;33540
103057;33546
103057;33554
103057;33570
103057;33588
103057;33593
103057;33595
103057;33597
103057;33599
103057;33609
103057;33623
103057;34471
103057;34482
103057;34483
103057;34491
103057;34501
103057;34506
103057;34523
103057;34527
103057;34536
103057;34541
103057;34555
103057;34562
103057;38097
103057;38099
103057;38104
103057;38109
103057;38118
103057;38122
103057;38128
103057;38135
103057;38141
103057;38142
103057;38146
103057;38151
103057;38152
103057;38159
103057;38161
103057;38162
103057;38163
103057;38164
103057;38171
103057;38178
103057;39082
103057;39092
103057;39105
103057;39122
103057;39127
103057;39130
103057;39147
103057;39152
103057;39154
103057;39157
103057;39163
103057;39174
103057;39181
103057;39192
103057;39197
103057;39206
103057;39223
103057;39225
103057;39238
103057;39245
103057;39256
103057;39259
103057;39266
103057;39284
103057;39289
103057;40130
103057;40133
103057;40144
103057;40159
103057;40171
103057;40173
103057;40174
103057;40179
103057;40191
103057;40197
103057;40198
103057;40208
103057;40211
103057;40220
103057;40228
103057;40247
103057;40253
103057;40258
103057;40265
103057;40286
103057;40291
103057;40303
103057;40315
103057;40330
103057;40336
103057;40338
103057;40339
103057;40360
103057;40377
103057;40956
103057;40957
103057;40958
103057;40963
103057;40986
103057;40988
103057;40994
103057;40995
103057;41006
103057;41019
103057;41022
103057;41029
103057;41038
103057;41854
103057;41862
103057;41864
103057;41866
103057;41871
103057;41876
103057;41885
103057;41889
103057;41926
103057;41928
103057;41936
103057;42803
103057;42810
103057;42812
103057;42822
103057;42833
103057;42835
103057;42840
103057;42843
103057;42853
103057;42856
103057;42861
103057;43676
103057;43698
103057;43701
103057;43704
103057;43706
103057;43707
103057;43711
103057;43714
103057;53579
103057;53595
103059;38100
103059;32513
103059;32522
103059;32535
103059;32537
103059;32570
103059;32576
103059;32578
103059;32580
103059;32606
103059;33539
103059;33544
103059;33551
103059;33568
103059;33573
103059;33580
103059;33599
103059;33620
103059;34471
103059;34490
103059;34494
103059;34495
103059;34507
103059;34515
103059;34528
103059;34531
103059;34534
103059;34548
103059;34559
103059;34560
103059;34568
103059;34570
103059;38097
103059;38117
103059;38118
103059;38125
103059;38134
103059;38147
103059;38150
103059;38153
103059;38154
103059;38160
103059;38166
103059;38167
103059;38172
103059;38180
103059;38189
103059;38191
103059;39048
103059;40982
103059;40988
103059;40994
103059;41014
103059;41030
103059;41859
103059;41879
103059;41888
103059;41895
103059;41898
103059;41901
103059;41902
103059;41906
103059;41909
103059;41911
103059;41912
103059;41919
103059;41925
103059;41940
103059;42798
103059;42801
103059;42802
103059;42808
103059;42825
103059;42839
103059;42840
103059;42842
103059;42845
103059;42850
103059;43684
103059;43693
103059;43708
103059;43719
103059;43722
103059;43730
103059;43735
103059;43738
103059;43746
103059;43749
103059;43753
103059;43758
103059;43761
103059;53578
103059;53595
103060;87590
103065;42907
103067;41969
103067;41971
103068;41969
103068;41973
103077;42180
103077;42884
103077;42885
103078;42181
103078;42182
103082;33920
103083;33921
103083;33930
103083;38450
103087;32997
103087;33002
103087;33004
103087;33010
103091;53746
103092;33001
103095;33008
103096;32991
103096;33009
103097;53674
103098;34047
103098;87570
103102;43867
103103;33008
103103;53740
103106;39519
103152;41517
103162;38613
98790;36870
98797;32508
98797;32523
98797;32545
98797;32557
98797;32570
98797;32578
98797;32585
98797;32588
98797;32590
98797;33541
98797;33542
98797;33543
98797;33551
98797;33559
98797;33565
98797;33566
98797;33571
98797;33572
98797;33575
98797;33582
98797;33583
98797;33590
98797;33608
98797;33609
98797;33618
98797;33625
98797;34466
98797;34473
98797;34479
98797;34493
98797;34494
98797;34497
98797;34499
98797;34501
98797;34502
98797;34509
98797;34516
98797;34523
98797;34530
98797;34539
98797;34542
98797;34561
98797;34563
98797;34565
98797;38094
98797;38104
98797;38112
98797;38115
98797;38126
98797;38157
98797;38173
98797;38187
98797;39058
98797;40956
98797;40964
98797;40970
98797;40971
98797;40973
98797;40978
98797;40982
99292;32598
99292;32601
99292;33534
99292;33535
99292;33538
99292;33539
99292;33563
99292;33565
99292;33569
99292;33570
99292;33575
99292;33614
99292;33615
99292;33625
99292;33629
99292;34475
99292;34480
99292;34509
99292;34532
99292;34546
99292;34549
99292;34570
99292;38104
99292;38107
99292;38130
99292;38139
99292;38140
99292;38143
99292;38153
99292;38162
99292;38165
99292;38166
99292;38167
99292;38171
99292;38174
99292;38175
99292;39055
99292;40131
99292;40959
99292;40988
99292;41002
99292;41013
99292;41014
99292;41019
99292;41024
99292;41040
99292;41855
99292;41858
99292;41879
99292;41884
99292;41890
99292;41902
99292;41905
99292;41907
99292;41909
99292;41924
99292;41940
99292;42798
99292;42813
99292;42820
99292;42825
99292;42827
99292;42846
99292;42852
99292;42854
99292;42855
99292;43670
99292;43672
99292;43674
99292;43676
99292;43681
99292;43688
99292;43689
99292;43690
99292;43691
99292;43693
99292;43714
99292;43724
99292;43728
99292;43743
99292;43749
99292;43752
99292;43756
99293;34500
99293;32517
99293;32518
99293;32540
99293;32545
99293;32546
99293;32554
99293;32562
99293;32563
99293;32583
99293;32587
99293;32588
99293;32590
99293;32602
99293;33544
99293;33571
99293;33582
99293;33584
99293;33589
99293;33596
99293;33602
99293;33613
99293;33617
99293;34469
99293;34475
99293;34477
99293;34478
99293;34479
99293;34482
99293;34499
99293;34508
99293;34514
99293;34522
99293;34527
99293;34535
99293;34544
99293;34550
99293;34557
99293;34560
99293;34568
99293;38105
99293;38116
99293;38130
99293;38141
99293;38142
99293;38144
99293;38151
99293;38155
99293;38158
99293;38188
99293;38192
99293;40956
99293;40957
99293;40968
99293;40969
99293;40975
99293;40996
99293;40999
99293;41006
99293;41008
99293;41010
99293;41026
99293;41028
99293;41858
99293;41861
99293;41862
99293;41863
99293;41879
99293;41901
99293;41906
99293;41909
99293;41910
99293;41929
99293;41939
99293;42806
99293;42809
99293;42818
99293;42819
99293;42841
99293;42862
99293;42871
99293;43674
99293;43678
99293;43682
99293;43685
99293;43704
99293;43707
99293;43715
99293;43717
99293;43722
99293;43724
99293;43746
99294;33600
99294;38100
99294;41900
99294;32511
99294;32516
99294;32517
99294;32546
99294;32550
99294;32554
99294;32559
99294;32566
99294;32570
99294;32571
99294;32572
99294;32573
99294;32574
99294;32584
99294;32588
99294;32589
99294;32590
99294;32593
99294;33537
99294;33558
99294;33578
99294;33580
99294;33627
99294;34198
99294;34199
99294;34201
99294;34484
99294;34487
99294;34489
99294;34499
99294;34502
99294;34503
99294;34513
99294;34517
99294;34520
99294;34536
99294;34540
99294;34541
99294;38096
99294;38135
99294;38137
99294;38147
99294;38176
99294;38182
99294;38184
99294;39048
99294;39054
99294;40957
99294;40961
99294;40963
99294;40965
99294;40966
99294;40974
99294;40988
99294;41018
99294;41039
99294;41855
99294;41862
99294;41863
99294;41866
99294;41873
99294;41881
99294;41895
99294;41898
99294;41899
99294;41907
99294;41908
99294;41912
99294;41926
99294;41929
99294;41937
99294;41938
99294;42801
